City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Morondava,MG,-20.2833,44.2833,77.79,79,85,7.49,overcast clouds
81,Zhangjiakou,CN,40.81,114.8794,27.59,79,2,1.66,clear sky
82,Georgetown,MY,5.4112,100.3354,79.9,92,20,0.0,few clouds
83,Saint-Philippe,RE,-21.3585,55.7679,72.95,80,54,5.88,broken clouds
84,Hermanus,ZA,-34.4187,19.2345,64.9,90,100,7.38,overcast clouds
85,Lerwick,GB,60.1545,-1.1494,50.0,81,100,23.76,overcast clouds
86,Mahebourg,MU,-20.4081,57.7,73.69,88,40,2.3,scattered clouds
87,Hobart,AU,-42.8794,147.3294,48.02,66,75,1.01,broken clouds
88,Tasiilaq,GL,65.6145,-37.6368,8.92,64,65,10.22,broken clouds
89,Magole,TZ,-6.3667,37.3667,77.83,84,50,2.64,scattered clouds
90,Uruburetama,BR,-3.625,-39.5083,79.45,74,5,6.62,clear sky
91,Te Anau,NZ,-45.4167,167.7167,46.87,91,87,9.06,light rain
92,Vaini,TO,-21.2,-175.2,80.76,78,20,8.05,few clouds
93,Nikolskoye,RU,59.7035,30.7861,32.88,74,71,10.0,broken clouds
94,Barrow,US,71.2906,-156.7887,6.82,72,90,14.97,light snow
95,Slave Lake,CA,55.2834,-114.769,30.18,93,90,8.05,overcast clouds
96,Aklavik,CA,68.2191,-135.0107,3.2,85,75,4.61,light snow
97,Adre,TD,13.4667,22.2,74.01,18,6,8.84,clear sky
98,Kapaa,US,22.0752,-159.319,79.12,72,90,4.0,light rain
99,Ancud,CL,-41.8697,-73.8203,56.73,68,18,5.5,light rain
100,Timmins,CA,48.4669,-81.3331,26.42,80,90,5.75,overcast clouds
101,Kamenka,RU,51.3223,42.7678,28.8,69,99,12.88,overcast clouds
102,Weligama,LK,5.9667,80.4167,78.35,89,99,13.27,overcast clouds
103,Brokopondo,SR,4.75,-55.1667,77.07,87,99,7.87,overcast clouds
104,Souillac,MU,-20.5167,57.5167,73.78,88,40,2.3,scattered clouds
105,Yellowknife,CA,62.456,-114.3525,15.42,100,40,5.75,scattered clouds
106,Nantucket,US,41.2835,-70.0995,47.97,65,88,26.33,overcast clouds
107,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,68,40,13.8,scattered clouds
108,Cayenne,GF,4.9333,-52.3333,82.09,80,0,1.01,clear sky
109,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.82,98,100,0.96,moderate rain
110,Surt,LY,31.2089,16.5887,66.69,51,2,4.12,clear sky
111,Awjilah,LY,29.1081,21.2869,67.39,67,100,12.12,overcast clouds
112,Ahipara,NZ,-35.1667,173.1667,68.04,69,3,12.35,clear sky
113,Chernyshevskiy,RU,63.0128,112.4714,6.31,98,100,1.63,overcast clouds
114,Jinxiang,CN,27.4327,120.6062,58.39,77,72,5.99,broken clouds
115,Severo-Kurilsk,RU,50.6789,156.125,34.34,79,85,14.9,light rain
116,Naples,IT,40.8333,14.25,59.61,79,75,4.0,broken clouds
117,Garowe,SO,8.4054,48.4845,69.89,77,60,10.31,broken clouds
118,Port Elizabeth,ZA,-33.918,25.5701,64.69,82,0,17.27,clear sky
119,Gobabis,NA,-22.45,18.9667,77.59,36,86,14.79,overcast clouds
120,Carnarvon,AU,-24.8667,113.6333,68.07,73,75,8.05,broken clouds
121,Lucena,PH,13.9314,121.6172,78.75,89,96,9.31,overcast clouds
122,Ayan,RU,56.45,138.1667,10.33,69,81,14.72,broken clouds
123,Crestview,US,30.7621,-86.5705,71.51,50,0,3.0,clear sky
124,Butaritari,KI,3.0707,172.7902,82.44,69,95,16.26,overcast clouds
125,Mar Del Plata,AR,-38.0023,-57.5575,71.1,93,20,10.0,few clouds
126,Sassandra,CI,4.95,-6.0833,78.64,86,39,6.22,scattered clouds
127,Puerto Escondido,MX,15.85,-97.0667,83.3,58,15,4.27,few clouds
128,Ponta Do Sol,PT,32.6667,-17.1,68.63,69,100,4.54,overcast clouds
129,Ilulissat,GL,69.2167,-51.1,-2.31,89,100,5.01,overcast clouds
130,Castro,BR,-24.7911,-50.0119,66.97,73,87,5.7,overcast clouds
131,Port Alfred,ZA,-33.5906,26.891,64.51,79,100,15.32,overcast clouds
132,Ketchikan,US,55.3422,-131.6461,37.08,83,97,2.21,overcast clouds
133,Turukhansk,RU,65.8167,87.9833,-10.82,99,99,6.4,overcast clouds
134,Hambantota,LK,6.1241,81.1185,77.34,100,20,8.05,few clouds
135,Chambas,CU,22.1928,-78.9136,76.96,82,97,11.56,overcast clouds
136,Huangchuan,CN,32.1272,115.0394,53.82,65,98,6.24,overcast clouds
137,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,24,20,8.05,few clouds
138,Richards Bay,ZA,-28.783,32.0377,72.91,87,100,10.04,overcast clouds
139,Bredasdorp,ZA,-34.5322,20.0403,64.27,92,98,6.08,overcast clouds
140,Faanui,PF,-16.4833,-151.75,80.85,73,98,10.78,overcast clouds
141,Kaitangata,NZ,-46.2817,169.8464,61.93,45,69,7.76,broken clouds
142,Kavaratti,IN,10.5669,72.642,80.89,78,100,13.91,overcast clouds
143,Cururupu,BR,-1.8283,-44.8683,76.87,86,81,3.98,broken clouds
144,Cidreira,BR,-30.1811,-50.2056,69.93,82,17,22.84,few clouds
145,Sakakah,SA,29.9697,40.2064,54.97,36,52,6.78,broken clouds
146,Mantua,IT,45.1667,10.7833,54.34,84,82,1.99,broken clouds
147,Hellvik,NO,59.9156,5.781,50.77,88,100,15.01,overcast clouds
148,Fort Nelson,CA,58.8053,-122.7002,13.59,92,90,5.75,light snow
149,Kijang,KR,35.2442,129.2139,46.13,52,100,2.8,overcast clouds
150,Sitka,US,57.0531,-135.33,37.29,75,20,5.75,few clouds
151,Galesong,ID,-5.3166,119.3661,76.12,93,100,6.85,overcast clouds
