City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
281,Cabedelo,BR,80.06,few clouds,-6.9811,-34.8339,
282,Biak,ID,76.51,overcast clouds,-0.9131,122.8766,
283,Sao Joao Da Barra,BR,73.49,scattered clouds,-21.6403,-41.0511,
286,San Quintin,MX,76.48,clear sky,30.4833,-115.95,
287,Saint-Leu,RE,72.43,scattered clouds,-21.15,55.2833,
288,Frederikshavn,DK,44.55,overcast clouds,57.4407,10.5366,
291,Hirara,JP,70.07,few clouds,24.8,125.2833,
292,Igualada,ES,54.25,overcast clouds,41.581,1.6172,
293,Saint-Georges,GD,81.03,scattered clouds,12.0564,-61.7485,
295,Svetlyy,RU,39.25,broken clouds,54.675,20.1347,
297,Asau,RO,45.75,overcast clouds,46.4333,26.4,
299,San Bartolome De Tirajana,ES,57.67,scattered clouds,27.9248,-15.5733,
300,Broome,US,39.83,overcast clouds,42.2506,-75.833,
301,Calafell,ES,58.89,broken clouds,41.2,1.5683,
302,Mahon,ES,57.76,overcast clouds,39.8885,4.2658,
303,Trofors,NO,45.86,overcast clouds,65.5333,13.4063,
305,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,
306,Nagytarcsa,HU,43.92,broken clouds,47.5313,19.2834,
307,Noumea,NC,84.18,clear sky,-22.2763,166.4572,
308,Paracuru,BR,82.42,clear sky,-3.41,-39.0306,
309,Gravdal,NO,44.49,light rain,68.1214,13.5031,
310,Vaitape,PF,80.8,overcast clouds,-16.5167,-151.75,
312,Platanos,GR,63.09,overcast clouds,37.6667,21.6167,
313,Tarbert,GB,49.98,overcast clouds,55.8628,-5.4162,
314,Huarmey,PE,67.87,scattered clouds,-10.0681,-78.1522,
315,Fecamp,FR,49.08,overcast clouds,49.7579,0.3746,
316,Sebastian,US,74.41,clear sky,35.1668,-94.2669,
317,Abu Kamal,SY,65.75,overcast clouds,34.4506,40.9171,
318,Assiniboia,CA,42.1,overcast clouds,49.6334,-105.9845,
319,Wiarton,CA,39.04,overcast clouds,44.7407,-81.1332,
320,Wanning,CN,73.67,overcast clouds,18.8003,110.3967,
322,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,
323,Balkhash,KZ,32.65,overcast clouds,46.844,74.9804,
324,Rio Grande,BR,78.91,scattered clouds,-32.035,-52.0986,
325,Acarau,BR,81.0,clear sky,-2.8856,-40.12,
326,Vestmannaeyjar,IS,39.74,light rain,63.4427,-20.2734,
327,Baiyin,CN,34.84,overcast clouds,36.5583,104.2081,
328,Pindiga,NG,77.5,overcast clouds,9.9833,10.9333,
329,Los Llanos De Aridane,ES,65.95,broken clouds,28.6585,-17.9182,
330,Kushima,JP,48.24,clear sky,31.4583,131.2333,
333,Punta De Bombon,PE,65.55,broken clouds,-17.1717,-71.7931,
334,Tapes,BR,71.11,clear sky,-30.6733,-51.3958,
335,Waddan,LY,63.27,few clouds,29.1614,16.139,
336,Fukue,JP,61.27,broken clouds,32.6881,128.8419,
337,Kaspiysk,RU,39.38,overcast clouds,42.8816,47.6392,
338,Ionia,US,38.28,overcast clouds,42.9873,-85.0711,
339,Bandarbeyla,SO,77.38,overcast clouds,9.4942,50.8122,
340,Jesus Carranza,MX,75.67,scattered clouds,17.4333,-95.0333,
341,Plettenberg Bay,ZA,62.38,overcast clouds,-34.0527,23.3716,
342,Hami,CN,33.71,overcast clouds,42.8,93.45,
343,Sur,OM,73.72,broken clouds,22.5667,59.5289,
344,Muros,ES,58.84,overcast clouds,42.7762,-9.0603,
345,Chipinge,ZW,63.95,clear sky,-20.1883,32.6236,
346,Aguimes,ES,65.03,scattered clouds,27.9054,-15.4461,
348,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,
349,Mangrol,IN,74.39,overcast clouds,21.1167,70.1167,
350,Hofn,IS,40.53,few clouds,64.2539,-15.2082,
351,San Ignacio,BZ,70.65,overcast clouds,17.1561,-89.0714,
352,Nanakuli,US,81.72,light rain,21.3906,-158.1547,
353,Lakatoro,VU,83.03,broken clouds,-16.0999,167.4164,
354,Zwedru,LR,72.72,broken clouds,6.0667,-8.1281,
356,Kaputa,ZM,73.53,broken clouds,-8.4689,29.6619,
358,Camacha,PT,65.16,few clouds,33.0833,-16.3333,
359,Teahupoo,PF,80.56,overcast clouds,-17.8333,-149.2667,
360,Vanimo,PG,75.87,overcast clouds,-2.6741,141.3028,
361,Varadero,CU,75.36,overcast clouds,23.1536,-81.2514,
362,Kruisfontein,ZA,61.88,overcast clouds,-34.0033,24.7314,
363,Dalvik,IS,30.45,scattered clouds,65.9702,-18.5286,
364,Roald,NO,50.14,broken clouds,62.5833,6.1333,
365,Ilo,PE,64.29,scattered clouds,-17.6394,-71.3375,
366,Mathbaria,BD,69.82,overcast clouds,22.2876,89.9593,
368,Zinder,NE,81.88,overcast clouds,13.8072,8.9881,
369,Pechenga,RU,32.86,overcast clouds,69.5259,31.1703,
371,Mweka,CD,69.21,moderate rain,-4.85,21.5667,
372,Havre-Saint-Pierre,CA,34.16,overcast clouds,50.2334,-63.5986,
373,Mehamn,NO,40.95,scattered clouds,71.0357,27.8492,
374,Prilep,MK,43.72,overcast clouds,41.3464,21.5544,
375,Ilyich,KZ,42.46,broken clouds,40.8464,68.5067,
376,Tura,IN,59.7,clear sky,25.5198,90.2201,
377,Kuryk,KZ,41.72,overcast clouds,43.2,51.65,
378,Chuy,UY,69.24,clear sky,-33.6971,-53.4616,
379,Maldonado,UY,69.55,scattered clouds,-34.6667,-54.9167,
380,Kloulklubed,PW,84.0,overcast clouds,7.0419,134.2556,
381,Vanersborg,SE,42.66,light intensity drizzle,58.3807,12.3234,
382,Sola,VU,80.58,broken clouds,-13.8833,167.55,
383,Kemin,KG,30.78,broken clouds,42.7846,75.6892,
384,Kirakira,SB,82.65,broken clouds,-10.4544,161.9205,
385,Alta Floresta,BR,71.98,overcast clouds,-9.8756,-56.0861,
388,Villa Maria,AR,81.82,few clouds,-32.4075,-63.2402,
389,Xinzhi,CN,44.06,clear sky,36.4989,111.7047,
391,Chaozhou,CN,59.81,clear sky,23.6651,116.6379,
392,Mulatupo,PA,81.0,overcast clouds,8.9492,-77.7652,
393,Husavik,IS,39.11,clear sky,66.0449,-17.3389,
394,Tessalit,ML,75.58,broken clouds,20.1986,1.0114,
395,Zanesville,US,41.38,overcast clouds,39.9404,-82.0132,
396,Maple Creek,CA,56.19,overcast clouds,49.9168,-109.4848,
398,Gunnedah,AU,59.72,clear sky,-30.9833,150.25,
399,Kondoa,TZ,66.42,scattered clouds,-4.9,35.7833,
400,Viedma,AR,54.7,overcast clouds,-40.8135,-62.9967,
401,Sao Filipe,CV,75.42,overcast clouds,14.8961,-24.4956,
402,Zyrardow,PL,42.8,clear sky,52.0488,20.446,
403,Sarangani,PH,82.56,overcast clouds,5.4033,125.4636,
404,Mattoon,US,48.4,broken clouds,39.4831,-88.3728,
405,Honningsvag,NO,40.53,overcast clouds,70.9821,25.9704,
406,Maningrida,AU,77.45,overcast clouds,-12.0667,134.2667,
407,Odweyne,SO,69.31,scattered clouds,9.4092,45.064,
408,Tarakan,ID,77.05,overcast clouds,3.3,117.6333,
409,Hamilton,US,43.12,light snow,39.1834,-84.5333,
410,Launceston,AU,52.16,broken clouds,-41.45,147.1667,
411,Oga,IT,38.08,overcast clouds,46.4631,10.347,
412,Kirksville,US,59.13,scattered clouds,40.1948,-92.5833,
413,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,
414,Saldanha,ZA,62.65,overcast clouds,-33.0117,17.9442,
415,Macklin,CA,32.56,overcast clouds,52.3334,-109.9348,
417,Mumbwa,ZM,71.6,scattered clouds,-14.9783,27.0619,
418,Skjervoy,NO,41.92,light rain,70.0311,20.9714,
419,Kiama,AU,62.26,clear sky,-34.6833,150.8667,
421,Beocin,RS,49.12,overcast clouds,45.2083,19.7206,
424,Obo,CF,70.56,overcast clouds,5.3998,26.4869,
425,Knin,HR,56.39,overcast clouds,44.0439,16.2,
426,Portland,US,57.97,overcast clouds,45.5234,-122.6762,
427,Progreso,MX,82.51,clear sky,21.2833,-89.6667,
428,Ullapool,GB,52.36,overcast clouds,57.8987,-5.1604,
429,Gigmoto,PH,80.13,overcast clouds,13.7796,124.39,
430,Belyy Yar,RU,30.09,clear sky,53.6039,91.3903,
431,Sakhon Nakhon,TH,69.1,broken clouds,17.1612,104.1472,
432,Magnolia,US,74.88,few clouds,33.2671,-93.2393,
433,Garissa,KE,78.96,scattered clouds,-0.4536,39.6401,
434,Maridi,SS,69.39,broken clouds,4.9158,29.4742,
435,Ampanihy,MG,67.05,clear sky,-24.7,44.75,
437,Ihiala,NG,76.19,broken clouds,5.8538,6.8603,
439,Jiaojiang,CN,55.99,broken clouds,28.6803,121.4428,
440,Grand Forks,US,30.13,overcast clouds,47.9417,-97.4337,
441,Hervey Bay,AU,73.83,scattered clouds,-25.2986,152.8535,
442,Ossora,RU,30.09,light snow,59.2353,163.0719,
443,Doha,QA,71.71,clear sky,25.2867,51.5333,
444,Labuan,MY,77.36,few clouds,5.2767,115.2417,
445,Preobrazheniye,RU,31.95,clear sky,42.9019,133.9064,
446,Chubbuck,US,63.68,overcast clouds,42.9208,-112.4661,
447,Kalmunai,LK,77.95,overcast clouds,7.4167,81.8167,
448,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,
449,Koutsouras,GR,65.1,clear sky,35.0339,25.9469,
450,Ucluelet,CA,48.09,broken clouds,48.9329,-125.5528,
451,Livingston,GB,46.85,scattered clouds,55.9029,-3.5226,
453,Lola,GN,72.82,few clouds,7.8,-8.5333,
454,Ouadda,CF,68.81,clear sky,8.0777,22.4007,
455,Ipira,BR,73.06,overcast clouds,-12.1583,-39.7372,
456,Nabire,ID,75.0,overcast clouds,-3.3667,135.4833,
458,Vorukh,TJ,35.47,few clouds,39.8494,70.5838,
459,Merauke,ID,77.2,light rain,-8.4667,140.3333,
460,Indramayu,ID,78.71,overcast clouds,-6.3264,108.32,
461,Muisne,EC,74.37,overcast clouds,0.6,-80.0333,
462,Solnechnoye,RU,36.43,overcast clouds,43.276,46.507,
465,Arauca,CO,80.91,scattered clouds,7.0847,-70.7591,
466,Great Yarmouth,GB,50.25,scattered clouds,52.6083,1.7305,
468,Cairns,AU,84.07,light rain,-16.9167,145.7667,
469,Taltal,CL,64.51,few clouds,-25.4,-70.4833,
470,Nagamangala,IN,68.29,overcast clouds,12.8156,76.7575,
471,Jiayuguan,CN,30.0,scattered clouds,39.8167,98.3,
472,Gat,IL,65.39,clear sky,31.61,34.7642,
473,Along,IN,54.25,broken clouds,28.1667,94.7667,
474,Konevo,RU,30.94,overcast clouds,62.1215,39.3192,
476,Namwala,ZM,74.66,scattered clouds,-15.7504,26.4384,
477,Coihaique,CL,57.81,few clouds,-45.5752,-72.0662,
478,Irbil,IQ,60.4,overcast clouds,36.1926,44.0106,
480,Iwanai,JP,39.97,overcast clouds,42.9744,140.5089,
481,Curuguaty,PY,78.26,scattered clouds,-24.4694,-55.6945,
483,Sabang,ID,79.34,overcast clouds,5.8933,95.3214,
484,Asyut,EG,68.7,clear sky,27.181,31.1837,
485,Wilmington,US,60.01,clear sky,34.2257,-77.9447,
486,Maunabo,PR,82.2,scattered clouds,18.0072,-65.8993,
487,Port Lavaca,US,81.28,clear sky,28.615,-96.6261,
488,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,
491,Korla,CN,33.33,clear sky,41.7597,86.1469,
492,Akyab,MM,75.74,broken clouds,20.15,92.9,
494,Charters Towers,AU,80.02,clear sky,-20.1,146.2667,
495,Yeroham,IL,61.88,clear sky,30.9872,34.9314,
497,Lilongwe,MW,72.34,overcast clouds,-13.9669,33.7873,
501,Alofi,NU,80.49,light rain,-19.0595,-169.9187,
502,Padang,ID,75.02,overcast clouds,-0.9492,100.3543,
503,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,
504,Angoche,MZ,78.1,overcast clouds,-16.2325,39.9086,
506,Altamira,BR,82.49,broken clouds,-3.2033,-52.2064,
507,Miraflores,MX,70.03,scattered clouds,19.2167,-98.8083,
508,Winfield,US,72.81,clear sky,37.2398,-96.9956,
509,Flin Flon,CA,30.04,light snow,54.7682,-101.865,
510,Shiyan,CN,51.42,overcast clouds,32.6475,110.7781,
513,Louga,RU,30.4,overcast clouds,58.7372,29.8453,
514,Sokoni,TZ,77.29,clear sky,-6.4333,39.55,
515,Granger,US,34.97,overcast clouds,41.7481,-86.1257,
516,Pimentel,PE,65.62,broken clouds,-6.8367,-79.9342,
517,Robertsport,LR,81.7,light rain,6.7533,-11.3686,
518,Zarautz,ES,54.61,overcast clouds,43.2844,-2.1699,
519,Cranbrook,CA,47.8,overcast clouds,49.4999,-115.7688,
520,Lazaro Cardenas,MX,83.7,broken clouds,17.9583,-102.2,
521,Kidal,ML,78.98,few clouds,18.4411,1.4078,
522,Xingcheng,CN,36.03,clear sky,40.6167,120.7167,
523,Kingman,US,82.13,clear sky,35.1894,-114.053,
524,Guerrero Negro,MX,84.16,clear sky,27.9769,-114.0611,
525,Sheridan,US,67.91,clear sky,44.8333,-106.9173,
526,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,
527,Half Moon Bay,US,72.63,haze,37.4636,-122.4286,
531,Angermunde,DE,43.05,scattered clouds,53.015,13.9992,
532,Sao Francisco Do Sul,BR,73.31,scattered clouds,-26.2433,-48.6381,
533,Saquarema,BR,70.32,few clouds,-22.92,-42.5103,
